sepal length,sepal width,petal length,petal width,petal length scaled,petal width scaled,targets,binary targets
6.5,3.0,5.8,2.2,0.8135593220338982,0.8750000000000001,Iris-virginica,1
5.1,3.8,1.6,0.2,0.1016949152542373,0.04166666666666667,Iris-setosa,0
5.1,3.8,1.9,0.4,0.15254237288135591,0.12500000000000003,Iris-setosa,0
5.8,2.8,5.1,2.4,0.6949152542372881,0.9583333333333333,Iris-virginica,1
5.4,3.9,1.7,0.4,0.11864406779661016,0.12500000000000003,Iris-setosa,0
7.7,3.0,6.1,2.3,0.8644067796610169,0.9166666666666666,Iris-virginica,1
4.9,2.4,3.3,1.0,0.38983050847457623,0.375,Iris-versicolor,1
6.4,2.8,5.6,2.1,0.7796610169491525,0.8333333333333334,Iris-virginica,1
5.7,3.0,4.2,1.2,0.5423728813559322,0.4583333333333333,Iris-versicolor,1
5.5,4.2,1.4,0.2,0.06779661016949151,0.04166666666666667,Iris-setosa,0
5.9,3.2,4.8,1.8,0.6440677966101694,0.7083333333333334,Iris-versicolor,1
6.3,2.8,5.1,1.5,0.6949152542372881,0.5833333333333334,Iris-virginica,1
4.8,3.0,1.4,0.3,0.06779661016949151,0.08333333333333333,Iris-setosa,0
6.7,2.5,5.8,1.8,0.8135593220338982,0.7083333333333334,Iris-virginica,1
6.1,2.8,4.7,1.2,0.6271186440677966,0.4583333333333333,Iris-versicolor,1
5.5,2.4,3.8,1.1,0.47457627118644063,0.4166666666666667,Iris-versicolor,1
6.0,3.4,4.5,1.6,0.5932203389830508,0.625,Iris-versicolor,1
5.5,2.5,4.0,1.3,0.5084745762711864,0.5,Iris-versicolor,1
6.7,3.1,4.7,1.5,0.6271186440677966,0.5833333333333334,Iris-versicolor,1
5.8,2.7,5.1,1.9,0.6949152542372881,0.75,Iris-virginica,1
7.4,2.8,6.1,1.9,0.8644067796610169,0.75,Iris-virginica,1
5.1,3.4,1.5,0.2,0.0847457627118644,0.04166666666666667,Iris-setosa,0
5.2,4.1,1.5,0.1,0.0847457627118644,0.0,Iris-setosa,0
6.2,2.8,4.8,1.8,0.6440677966101694,0.7083333333333334,Iris-virginica,1
6.1,2.8,4.0,1.3,0.5084745762711864,0.5,Iris-versicolor,1
6.4,2.9,4.3,1.3,0.559322033898305,0.5,Iris-versicolor,1
5.8,4.0,1.2,0.2,0.033898305084745756,0.04166666666666667,Iris-setosa,0
6.8,3.0,5.5,2.1,0.7627118644067796,0.8333333333333334,Iris-virginica,1
4.6,3.4,1.4,0.3,0.06779661016949151,0.08333333333333333,Iris-setosa,0
5.4,3.0,4.5,1.5,0.5932203389830508,0.5833333333333334,Iris-versicolor,1
7.6,3.0,6.6,2.1,0.9491525423728813,0.8333333333333334,Iris-virginica,1
6.1,3.0,4.6,1.4,0.6101694915254237,0.5416666666666666,Iris-versicolor,1
5.6,2.5,3.9,1.1,0.4915254237288135,0.4166666666666667,Iris-versicolor,1
5.7,2.8,4.5,1.3,0.5932203389830508,0.5,Iris-versicolor,1
4.8,3.1,1.6,0.2,0.1016949152542373,0.04166666666666667,Iris-setosa,0
6.7,3.1,5.6,2.4,0.7796610169491525,0.9583333333333333,Iris-virginica,1
7.7,3.8,6.7,2.2,0.9661016949152542,0.8750000000000001,Iris-virginica,1
5.0,3.5,1.6,0.6,0.1016949152542373,0.20833333333333334,Iris-setosa,0
6.6,3.0,4.4,1.4,0.576271186440678,0.5416666666666666,Iris-versicolor,1
5.7,3.8,1.7,0.3,0.11864406779661016,0.08333333333333333,Iris-setosa,0
6.3,2.3,4.4,1.3,0.576271186440678,0.5,Iris-versicolor,1
4.4,3.2,1.3,0.2,0.05084745762711865,0.04166666666666667,Iris-setosa,0
4.8,3.4,1.9,0.2,0.15254237288135591,0.04166666666666667,Iris-setosa,0
5.0,2.3,3.3,1.0,0.38983050847457623,0.375,Iris-versicolor,1
6.6,2.9,4.6,1.3,0.6101694915254237,0.5,Iris-versicolor,1
6.5,2.8,4.6,1.5,0.6101694915254237,0.5833333333333334,Iris-versicolor,1
5.0,2.0,3.5,1.0,0.423728813559322,0.375,Iris-versicolor,1
7.7,2.6,6.9,2.3,1.0,0.9166666666666666,Iris-virginica,1
5.0,3.0,1.6,0.2,0.1016949152542373,0.04166666666666667,Iris-setosa,0
4.9,3.1,1.5,0.1,0.0847457627118644,0.0,Iris-setosa,0
5.2,2.7,3.9,1.4,0.4915254237288135,0.5416666666666666,Iris-versicolor,1
5.7,2.9,4.2,1.3,0.5423728813559322,0.5,Iris-versicolor,1
7.0,3.2,4.7,1.4,0.6271186440677966,0.5416666666666666,Iris-versicolor,1
7.2,3.0,5.8,1.6,0.8135593220338982,0.625,Iris-virginica,1
4.7,3.2,1.6,0.2,0.1016949152542373,0.04166666666666667,Iris-setosa,0
6.3,3.3,6.0,2.5,0.847457627118644,1.0,Iris-virginica,1
6.7,3.3,5.7,2.5,0.7966101694915254,1.0,Iris-virginica,1
4.8,3.4,1.6,0.2,0.1016949152542373,0.04166666666666667,Iris-setosa,0
5.7,2.8,4.1,1.3,0.5254237288135593,0.5,Iris-versicolor,1
5.6,2.9,3.6,1.3,0.4406779661016949,0.5,Iris-versicolor,1
6.3,2.7,4.9,1.8,0.6610169491525424,0.7083333333333334,Iris-virginica,1
5.5,3.5,1.3,0.2,0.05084745762711865,0.04166666666666667,Iris-setosa,0
5.8,2.7,3.9,1.2,0.4915254237288135,0.4583333333333333,Iris-versicolor,1
6.1,2.6,5.6,1.4,0.7796610169491525,0.5416666666666666,Iris-virginica,1
6.3,2.5,5.0,1.9,0.6779661016949152,0.75,Iris-virginica,1
5.7,4.4,1.5,0.4,0.0847457627118644,0.12500000000000003,Iris-setosa,0
5.1,3.7,1.5,0.4,0.0847457627118644,0.12500000000000003,Iris-setosa,0
6.8,3.2,5.9,2.3,0.8305084745762712,0.9166666666666666,Iris-virginica,1
5.7,2.5,5.0,2.0,0.6779661016949152,0.7916666666666666,Iris-virginica,1
6.5,3.2,5.1,2.0,0.6949152542372881,0.7916666666666666,Iris-virginica,1
5.1,3.8,1.5,0.3,0.0847457627118644,0.08333333333333333,Iris-setosa,0
6.9,3.1,5.1,2.3,0.6949152542372881,0.9166666666666666,Iris-virginica,1
5.5,2.4,3.7,1.0,0.4576271186440678,0.375,Iris-versicolor,1
6.0,2.9,4.5,1.5,0.5932203389830508,0.5833333333333334,Iris-versicolor,1
5.4,3.4,1.7,0.2,0.11864406779661016,0.04166666666666667,Iris-setosa,0
4.9,3.0,1.4,0.2,0.06779661016949151,0.04166666666666667,Iris-setosa,0
6.7,3.3,5.7,2.1,0.7966101694915254,0.8333333333333334,Iris-virginica,1
4.8,3.0,1.4,0.1,0.06779661016949151,0.0,Iris-setosa,0
5.2,3.5,1.5,0.2,0.0847457627118644,0.04166666666666667,Iris-setosa,0
6.0,2.2,5.0,1.5,0.6779661016949152,0.5833333333333334,Iris-virginica,1
5.8,2.7,4.1,1.0,0.5254237288135593,0.375,Iris-versicolor,1
6.1,2.9,4.7,1.4,0.6271186440677966,0.5416666666666666,Iris-versicolor,1
4.4,2.9,1.4,0.2,0.06779661016949151,0.04166666666666667,Iris-setosa,0
